MUNIC,ESTADOS,CODIGO_MUN
UIRAMUTA,RORAIMA,140070
PACARAIMA,RORAIMA,140045
OIAPOQUE,AMAPA,160050
AMAJARI,RORAIMA,140002
NORMANDIA,RORAIMA,140040
CALCOENE,AMAPA,160020
ALTO ALEGRE,RORAIMA,140005
BOA VISTA,RORAIMA,140010
BONFIM,RORAIMA,140015
MUCAJAI,RORAIMA,140030
CANTA,RORAIMA,140017
IRACEMA,RORAIMA,140028
ALMEIRIM,PARA,150050
ORIXIMINA,PARA,150530
VITORIA DO JARI,AMAPA,160080
SERRA DO NAVIO,AMAPA,160005
OBIDOS,PARA,150510
SAO GABRIEL DA CACHOEIRA,AMAZONAS,130380
BARCELOS,AMAZONAS,130040
AMAPA,AMAPA,160010
PEDRA BRANCA DO AMAPARI,AMAPA,160015
CARACARAI,RORAIMA,140020
PRACUUBA,AMAPA,160055
TARTARUGALZINHO,AMAPA,160070
CAROEBE,RORAIMA,140023
ALENQUER,PARA,150040
CUTIAS,AMAPA,160021
FERREIRA GOMES,AMAPA,160023
SANTA ISABEL DO RIO NEGRO,AMAZONAS,130360
SAO JOAO DA BALIZA,RORAIMA,140050
MACAPA,AMAPA,160030
RORAINOPOLIS,RORAIMA,140047
SAO LUIZ,RORAIMA,140060
PORTO GRANDE,AMAPA,160053
MAZAGAO,AMAPA,160040
ITAUBAL,AMAPA,160025
CHAVES,PARA,150250
SANTANA,AMAPA,160060
MONTE ALEGRE,PARA,150480
URUCARA,AMAZONAS,130430
NHAMUNDA,AMAZONAS,130300
AFUA,PARA,150030
JAPURA,AMAZONAS,130210
PRESIDENTE FIGUEIREDO,AMAZONAS,130353
FARO,PARA,150300
SOURE,PARA,150790
ANAJAS,PARA,150070
SANTA CRUZ DO ARARI,PARA,150640
CACHOEIRA DO ARARI,PARA,150200
GURUPA,PARA,150310
NOVO AIRAO,AMAZONAS,130320
BREVES,PARA,150180
MARAPANIM,PARA,150440
CURUCA,PARA,150290
MARACANA,PARA,150430
SAO CAETANO DE ODIVELAS,PARA,150710
SALINOPOLIS,PARA,150620
SAO JOAO DE PIRABAS,PARA,150747
SALVATERRA,PARA,150630
PONTA DE PEDRAS,PARA,150570
QUATIPURU,PARA,150611
MAGALHAES BARATA,PARA,150410
VIGIA,PARA,150820
TRACUATEUA,PARA,150803
SAO JOAO DA PONTA,PARA,150746
COLARES,PARA,150260
BRAGANCA,PARA,150170
LARANJAL DO JARI,AMAPA,160027
SANTAREM NOVO,PARA,150690
PRIMAVERA,PARA,150610
AUGUSTO CORREA,PARA,150090
VISEU,PARA,150830
MUANA,PARA,150490
TERRA ALTA,PARA,150796
PEIXE-BOI,PARA,150560
NOVA TIMBOTEUA,PARA,150500
CAPANEMA,PARA,150220
IGARAPE-ACU,PARA,150320
PRAINHA,PARA,150600
SANTO ANTONIO DO TAUA,PARA,150700
BELEM,PARA,150140
CASTANHAL,PARA,150240
SAO FRANCISCO DO PARA,PARA,150740
CARUTAPERA,MARANHAO,210290
SANTA BARBARA DO PARA,PARA,150635
MELGACO,PARA,150450
LUIS DOMINGUES,MARANHAO,210620
CANDIDO MENDES,MARANHAO,210260
GODOFREDO VIANA,MARANHAO,210430
SAO SEBASTIAO DO UATUMA,AMAZONAS,130395
SAO SEBASTIAO DA BOA VISTA,PARA,150770
SANTA ISABEL DO PARA,PARA,150650
BARCARENA,PARA,150130
ANANINDEUA,PARA,150080
BONITO,PARA,150160
SANTA MARIA DO PARA,PARA,150660
BENEVIDES,PARA,150150
SERRANO DO MARANHAO,MARANHAO,211178
SANTA LUZIA DO PARA,PARA,150655
TURIACU,MARANHAO,211240
MARITUBA,PARA,150442
CURRALINHO,PARA,150280
INHANGAPI,PARA,150340
APICUM-ACU,MARANHAO,210083
OUREM,PARA,150540
CURUA,PARA,150285
MARAA,AMAZONAS,130280
SAO MIGUEL DO GUAMA,PARA,150760
BUJARU,PARA,150190
ACARA,PARA,150020
AMAPA DO MARANHAO,MARANHAO,210055
PORTO DE MOZ,PARA,150590
BACURI,MARANHAO,210130
ABAETETUBA,PARA,150010
CAPITAO POCO,PARA,150230
IRITUIA,PARA,150350
CACHOEIRA DO PIRIA,PARA,150195
BOA VISTA DO GURUPI,MARANHAO,210197
SAO DOMINGOS DO CAPIM,PARA,150720
TERRA SANTA,PARA,150797
MOJU,PARA,150470
CONCORDIA DO PARA,PARA,150275
IGARAPE-MIRI,PARA,150330
LIMOEIRO DO AJURU,PARA,150400
CURURUPU,MARANHAO,210370
JUNCO DO MARANHAO,MARANHAO,210565
PORTEL,PARA,150580
PORTO RICO DO MARANHAO,MARANHAO,210905
OEIRAS DO PARA,PARA,150520
GOVERNADOR NUNES FREIRE,MARANHAO,210467
BAGRE,PARA,150110
NOVA ESPERANCA DO PIRIA,PARA,150495
TURILANDIA,MARANHAO,211245
MAE DO RIO,PARA,150405
GARRAFAO DO NORTE,PARA,150307
MARACACUME,MARANHAO,210632
CEDRAL,MARANHAO,210310
MIRINZAL,MARANHAO,210680
CAMETA,PARA,150210
MANAUS,AMAZONAS,130260
FONTE BOA,AMAZONAS,130160
JURUTI,PARA,150390
AURORA DO PARA,PARA,150095
SANTA HELENA,MARANHAO,210980
GUIMARAES,MARANHAO,210490
CENTRO NOVO DO MARANHAO,MARANHAO,210317
RIO PRETO DA EVA,AMAZONAS,130356
SANTAREM,PARA,150680
TOME-ACU,PARA,150800
ALCANTARA,MARANHAO,210020
CODAJAS,AMAZONAS,130130
CENTRAL DO MARANHAO,MARANHAO,210312
CENTRO DO GUILHERME,MARANHAO,210315
TONANTINS,AMAZONAS,130423
MARANHAOZINHO,MARANHAO,210637
PINHEIRO,MARANHAO,210860
HUMBERTO DE CAMPOS,MARANHAO,210500
ITAPIRANGA,AMAZONAS,130200
PARINTINS,AMAZONAS,130340
COARI,AMAZONAS,130120
BEQUIMAO,MARANHAO,210190
UARINI,AMAZONAS,130426
IPIXUNA DO PARA,PARA,150345
PRESIDENTE MEDICI,MARANHAO,210923
PRIMEIRA CRUZ,MARANHAO,210940
SANTO AMARO DO MARANHAO,MARANHAO,211027
ICATU,MARANHAO,210510
SANTA LUZIA DO PARUA,MARANHAO,211003
JUTAI,AMAZONAS,130230
RAPOSA,MARANHAO,210945
TAILANDIA,PARA,150795
PARAGOMINAS,PARA,150550
PRESIDENTE SARNEY,MARANHAO,210927
MOCAJUBA,PARA,150460
PERI MIRIM,MARANHAO,210840
SANTO ANTONIO DO ICA,AMAZONAS,130370
JURUA,AMAZONAS,130220
BARREIRINHAS,MARANHAO,210170
URUCURITUBA,AMAZONAS,130440
PACO DO LUMIAR,MARANHAO,210750
SAO LUIS,MARANHAO,211130
SAO JOSE DE RIBAMAR,MARANHAO,211120
SENADOR JOSE PORFIRIO,PARA,150780
ITACOATIARA,AMAZONAS,130190
PALMEIRANDIA,MARANHAO,210760
BELTERRA,PARA,150145
SILVES,AMAZONAS,130400
BACURITUBA,MARANHAO,210135
BARREIRINHA,AMAZONAS,130050
CAAPIRANGA,AMAZONAS,130083
SAO BENTO,MARANHAO,211050
PAULINO NEVES,MARANHAO,210805
NOVA OLINDA DO MARANHAO,MARANHAO,210735
BAIAO,PARA,150120
MEDICILANDIA,PARA,150445
CAJAPIO,MARANHAO,210240
BRASIL NOVO,PARA,150172
TUTOIA,MARANHAO,211250
ARAIOSES,MARANHAO,210090
AXIXA,MARANHAO,210110
ROSARIO,MARANHAO,210960
MANACAPURU,AMAZONAS,130250
PEDRO DO ROSARIO,MARANHAO,210825
ILHA GRANDE,PIAUI,220465
ANAPU,PARA,150085
AGUA DOCE DO MARANHAO,MARANHAO,210015
BACABEIRA,MARANHAO,210125
PARNAIBA,PIAUI,220770
JIJOCA DE JERICOACOARA,CEARA,230725
VITORIA DO XINGU,PARA,150835
SAO VICENTE FERRER,MARANHAO,211170
BOA VISTA DO RAMOS,AMAZONAS,130068
MORROS,MARANHAO,210710
CRUZ,CEARA,230425
ACARAU,CEARA,230020
IRANDUBA,AMAZONAS,130185
CAMOCIM,CEARA,230260
ITAREMA,CEARA,230655
LUIS CORREIA,PIAUI,220570
SAO JOAO BATISTA,MARANHAO,211100
ALTAMIRA,PARA,150060
ARAGUANA,MARANHAO,210087
BARROQUINHA,CEARA,230205
URUARA,PARA,150815
OLINDA NOVA DO MARANHAO,MARANHAO,210745
CACHOEIRA GRANDE,MARANHAO,210237
CAJUEIRO DA PRAIA,PIAUI,220208
PRESIDENTE JUSCELINO,MARANHAO,210920
BELA CRUZ,CEARA,230230
VIANA,MARANHAO,211280
MATINHA,MARANHAO,210650
BELAGUA,MARANHAO,210173
CHAVAL,CEARA,230390
ITAPIPOCA,CEARA,230640
BOM PRINCIPIO DO PIAUI,PIAUI,220191
SANTA RITA,MARANHAO,211020
SANTA QUITERIA DO MARANHAO,MARANHAO,211010
GRANJA,CEARA,230470
ANAJATUBA,MARANHAO,210070
URBANO SANTOS,MARANHAO,211260
SANTANA DO MARANHAO,MARANHAO,211023
ALVARAES,AMAZONAS,130002
BURITI DOS LOPES,PIAUI,220200
CAREIRO DA VARZEA,AMAZONAS,130115
MARCO,CEARA,230780
AMATURA,AMAZONAS,130006
MARTINOPOLE,CEARA,230790
SAO BERNARDO,MARANHAO,211060
AMONTADA,CEARA,230075
ZE DOCA,MARANHAO,211400
PACAJA,PARA,150548
MAGALHAES DE ALMEIDA,MARANHAO,210630
SENADOR SA,CEARA,231280
SAO BENEDITO DO RIO PRETO,MARANHAO,211040
PENALVA,MARANHAO,210830
MAUES,AMAZONAS,130290
SAO PAULO DE OLIVENCA,AMAZONAS,130390
TRAIRI,CEARA,231350
PRESIDENTE VARGAS,MARANHAO,210930
MORRINHOS,CEARA,230890
URUOCA,CEARA,231390
NINA RODRIGUES,MARANHAO,210720
MURICI DOS PORTELAS,PIAUI,220669
AVEIRO,PARA,150100
MONCAO,MARANHAO,210690
COCAL,PIAUI,220270
AUTAZES,AMAZONAS,130030
CAXINGO,PIAUI,220265
CAJARI,MARANHAO,210250
ARARI,MARANHAO,210100
ANAMA,AMAZONAS,130008
TEFE,AMAZONAS,130420
CAREIRO,AMAZONAS,130110
GOVERNADOR NEWTON BELLO,MARANHAO,210465
VITORIA DO MEARIM,MARANHAO,211290
ITAPECURU MIRIM,MARANHAO,210540
SANTANA DO ACARAU,CEARA,231200
MANAQUIRI,AMAZONAS,130255
LITIGIO CE/PI,,999999
CHAPADINHA,MARANHAO,210320
PARAIPABA,CEARA,231025
VICOSA DO CEARA,CEARA,231410
JOAQUIM PIRES,PIAUI,220540
PLACAS,PARA,150565
MASSAPE,CEARA,230800
MORAUJO,CEARA,230880
ANAPURUS,MARANHAO,210080
MILAGRES DO MARANHAO,MARANHAO,210667
PARACURU,CEARA,231020
